address,basePool0,basePool1,yfi,backstop,ghouls,rope,stakedRopeAmount,unisock,pooliJudge,pooliLawyer,pooliSupporter,defiShare,defiAmount,nftShare,nftAmount,poolyShare,poolyAmount,totalAmount,share,chain
0x218d75b17f491793a96ab4326c7875950359a80c,,,FALSE,,36,0,0,0,0,0,0,0,0,36,20869.04,0,0,20869.04,36,Arbitrum
0x21af0a9117ee420cb26c32a49c59220f38f5991b,,,FALSE,,4,0,0,0,0,0,0,0,0,4,2318.782,0,0,2318.782,4,Arbitrum
0x21c8dc59f2e9a11c4c1a0c310641968132c6b1be,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x21d79c2be4ab3de2802a60da66f86d497d06102b,,,FALSE,,4,6,22,0,0,0,0,0,0,11,6376.651,0,0,6376.651,11,Optimism
0x22cde69eb915254802a5a3244bb0ab5f359679be,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x235137dfa092e40807e0d3d646aacdd5197e27dd,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x23b500af90b1c67e97de5ed6d77cd375c791e3e5,,,FALSE,,0,1,3,0,0,0,0,1,678.6051,1,579.6956,0,0,1258.301,2,Arbitrum
0x240b0ec7ee0484be0f9c341a01dc63aa65d063c2,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x2488f090656bddb63fe3bdb506d0d109aaad93bb,,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x24e2ce33c0d8ae58cda3544ebd37ed86688e8c38,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x25b9f3bf60c74a7041115cf6fac3dc3715b2a8ee,,,FALSE,,0,0,0,0,0,0,0,1,678.6051,0,0,0,0,678.6051,1,Arbitrum
0x2612b77e5ee1b5feeddd5ec08731749bc2217f54,,,FALSE,,1,0,0,0,0,0,1,1,678.6051,1,579.6956,1,552.571,1810.872,3,Optimism
0x2612eba4a83d08199a263b5d010064d5104fb72b,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x26e2e8a24e867e5e96ea0c4913e659cdc8a97973,,,FALSE,,3,0,0,0,0,0,0,0,0,3,1739.087,0,0,1739.087,3,Arbitrum
0x27407cadad03b2194f96674cf8cfab5121f09248,,,FALSE,,22,0,0,0,0,0,0,0,0,22,12753.3,0,0,12753.3,22,Arbitrum
0x2757475d4bdf2f01711579010b885d410f8ed1c7,,,FALSE,,3,0,0,0,0,0,0,0,0,3,1739.087,0,0,1739.087,3,Arbitrum
0x277c74f45724945b2066f305fcb5a609312390e2,,,FALSE,,12,0,0,0,0,0,0,0,0,12,6956.347,0,0,6956.347,12,Arbitrum
0x27c527a73a9645b8c93a305ae95bc4f9cb52c397,,,FALSE,,2,2,0,0,0,0,0,0,0,2.5,1449.239,0,0,1449.239,2.5,Arbitrum
0x280bf69d522bbcfb3aeb138c59d85a16e449057c,,,TRUE,,0,0,0,0,0,0,0,3,2035.815,0,0,0,0,2035.815,3,Optimism
0x282d656a9d95c64522f6bc1a42ee759de81e8dc0,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x2856cf9905d923469bb749e9787fc953b0a321e8,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Optimism
0x292c6dae7417b3d31d8b6e1d2eea0258d14c4c4b,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Optimism
0x2933c692a1e58855005485bf8bfa025a3f090f62,,,FALSE,,0,0,0,0,0,0,0,2,1357.21,0,0,0,0,1357.21,2,Arbitrum
0x2954545252353dcd73d191c0af1ab73c9f456e46,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x29687e2a2b38bbc1f4f9069f1f24f13a3c83d27d,,,TRUE,enlisted,0,0,0,0,0,0,1,2,1357.21,0,0,1,552.571,1909.781,3,Arbitrum
0x2968bd1a20f99d64fd6db2e32af4ca68d197d3dd,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x298a41ee3c56177f4b56fd686b675f3cb47fc0f4,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x29a00cf5e5987ca45744040d328440700e915de0,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Arbitrum
0x29eb182b934780bb25c4656268df4c919225e707,,,FALSE,,0,0,0,0,0,0,1,0,0,0,0,1,552.571,552.571,1,Arbitrum
0x2a0059610c92842dc2ef84af76b244c28687e647,,,FALSE,,3,0,0,0,0,0,0,0,0,3,1739.087,0,0,1739.087,3,Arbitrum
0x2a2cd7400f922085b62ca9bd9ac0f16151f716ab,,,FALSE,,1,0,0,0,0,0,0,0,0,1,579.6956,0,0,579.6956,1,Optimism
0x2a4183b48c8738a565685082b9ed64e1ada423b1,,,FALSE,,0,12,41,0,0,0,0,0,0,13.25,7680.966,0,0,7680.966,13.25,Arbitrum
