address,share,chain,referralENS,referralENSAddress
0xcc6543a434ff462435175b850545519b146f62d0,1,Arbitrum,maryx.eth,0x48b211039586619b04cfb3b040cdd12165e3a9cf
0x48b211039586619b04cfb3b040cdd12165e3a9cf,1,Arbitrum,,
0xd6d30f186e802c1558b8137bd730f7f4aec17ae7,1,Optimism,motypes.eth,0x2675a89c7afc000c9b6ae838660553ff5f586356
0x2675a89c7afc000c9b6ae838660553ff5f586356,1,Optimism,,
0xd77c6bb30cee69c435948709838eb99d60b33bf2,1,Arbitrum,crocweb.eth,0xb7bd892b95fc2faf5659404d9aca1bfa164f0686
0xb7bd892b95fc2faf5659404d9aca1bfa164f0686,1,Optimism,,
0xd8c84eac995150662cc052e6ac76ec184fcf1122,1,Optimism,greenjeff.eth,0x37a6156e4a6e8b60b2415af040546cf5e91699bd
0x37a6156e4a6e8b60b2415af040546cf5e91699bd,1,Arbitrum,,
0xd9d836ebc67abeec65b29e586f89816dab991f69,1,Arbitrum,ertyui.eth,0xb1d7b83a61a7e8533d9c60a1e4f00dbf5efa8116
0xb1d7b83a61a7e8533d9c60a1e4f00dbf5efa8116,1,Arbitrum,,
0xe1690f5153ad0bbc683964aa81645c49b3cf6567,1,Optimism,singletary.eth,0xb90e06d0e812d9ac7aeab8706c2eb45030b66ccf
0xb90e06d0e812d9ac7aeab8706c2eb45030b66ccf,1,Optimism,,
0xe36bd8c15a83b89e2e49806d7312846069755c63,1,Optimism,austinn.eth,0x8d1a194fb61df8306eff8039c9eceb2bfb7bff73
0x8d1a194fb61df8306eff8039c9eceb2bfb7bff73,1,Optimism,,
0xe3e202b2cac2b3ec41219c69fe0d2352b19cef69,1,Optimism,isidoros.eth,0x938bf2b8a7e40472d846e50b8ffe763a0fc749d4
0x938bf2b8a7e40472d846e50b8ffe763a0fc749d4,1,Arbitrum,,
0xebdb626c95a25f4e304336b1adcad0521a1bdca1,2,Arbitrum,defiprime.eth,0xebdb626c95a25f4e304336b1adcad0521a1bdca1
0xedf7b675a2fe3c27efb263fb4c204a3f0fb17d46,1,Arbitrum,asmod.eth,0x1ec3c1f70e1d6bbdc84092ae86eaade495fddb9b
0xf1cc11ce17f7b593440e437f75f73cdd76827226,1,Arbitrum,elpopo.eth,0x0cdff14583404b02f4a490f45fcafd56a0247b0f
0x0cdff14583404b02f4a490f45fcafd56a0247b0f,1,Arbitrum,,
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,1,Arbitrum,seah.eth,0x57ef2b98306d2c98f2fcebbdd05090c75982af72
0x57ef2b98306d2c98f2fcebbdd05090c75982af72,1,Arbitrum,,
0xfacade560c19aa1927ae4edee886a2e7ca424b36,1,Arbitrum,onlyfee.eth,0x3ec6732676db7996c1b34e64b0503f941025cb63
